tracks,id,popularity,artist,artist_full,artist_id,album,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,name,Artist Gender
Dakiti,47EiUVwUp4C9fGccaPuUCS,100,Bad Bunny,Bad Bunny feat. Jhay Cortez,4q3ewBCX7sLwd24euuV69X,Dakiti,43dl8hP5uNN9s6YeeJA5fv,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,205090,popular,Male
positions,7igeByaBM0MgGsgXtNxDJ7,86,Ariana Grande,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,positions,3jqEvfiu2ENgmgzZq27zbi,0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005,172325,popular,Female
Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,88,Miley Cyrus,Miley Cyrus feat. Dua Lipa,5YGY8feqx7naU7z4HrwZM6,Prisoner (feat. Dua Lipa),3hUh17FzYZwwZyNjU9B3vL,0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,169333,popular,Female
Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,90,Shawn Mendes,Shawn Mendes feat. Justin Bieber,7n2wHs1TKAczGzO7Dd2rGr,Monster,3yVVL2EYLp8g7gT08VvYKy,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,178994,popular,Male
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,96,The Weeknd,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,4yP0hdKOZPNshxUOjY0cZj,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,200040,popular,Male
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,94,Billie Eilish,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Therefore I Am,5G58VVE9ub1KE01Mvbd8XM,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,popular,Female
Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,89,Dua Lipa,Dua Lipa feat. DaBaby,6M2wZ9GZgrQXHCFfjv46we,Levitating (feat. DaBaby),04m06KhJUuwe1Q487puIud,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064,popular,Female
What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,95,Pop Smoke,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc,0.709,0.548,10,-8.493,1,0.353,0.65,1.59E-06,0.133,0.543,83.995,160000,popular,Male
HOLIDAY,6zFMeegAMYQo0mt8rXtrli,87,Lil Nas X,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,HOLIDAY,4EvukZrmNBiqJbs3LwOSHu,0.81,0.511,5,-6.924,0,0.164,0.12,0,0.0832,0.837,151.947,154998,popular,Male
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,99,24kGoldn,24kGoldn feat. iann dior,6fWVd57NKTalqvmjRd2t8Z,Mood (feat. iann dior),4YMnOf4a7obOcN1Gy2QEuM,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526,popular,Male
Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,92,Ritt Momney,Ritt Momney,7MPGCB854Qo4alYMOPkBka,Put Your Records On,6K7559pAYrNCJwsv1uIIK7,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,popular,Male
Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,95,Justin Bieber,Justin Bieber feat. benny blanco,1uNFoZAHBGtllmzznpCI3s,Lonely (with benny blanco),3P5WIUJO0Ots1lQx09TOxk,0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,149297,popular,Male
Lemonade,02kDW379Yfd5PzW5A6vuGt,93,Internet Money,Internet Money feat. Gunna feat. Don Toliver feat. NAV,6MPCFvOQv5cIGfw3jODMF0,"Lemonade (feat. Gunna, Don Toliver & NAV)",1pFaEu56zqpzSviJc3htZN,0.799,0.66,1,-6.153,0,0.079,0.256,0,0.111,0.471,140.04,195429,popular,Male
YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,77,Bad Bunny,Bad Bunny,4q3ewBCX7sLwd24euuV69X,EL ÚLTIMO TOUR DEL MUNDO,2d9BCZeAAhiZWPpbX9aPCW,0.688,0.881,7,-4.889,0,0.0474,0.0947,0,0.0804,0.677,123.013,191526,popular,Male
34+35,6Im9k8u9iIzKMrmV7BWtlF,92,Ariana Grande,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Positions,3euz4vS7ezKGnNSwgyvKcd,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,173711,popular,Female
you broke me first,45bE4HXI0AwGZXfZtMp8JR,94,Tate McRae,Tate McRae,45dkTj5sMRSjrmBSBeiHym,you broke me first,1RWiRfdNZKDe8VXzzf2VEc,0.642,0.374,4,-9.386,1,0.0545,0.786,0,0.0906,0.0799,124.099,169266,popular,Female
SO DONE,5psEZhQu6lukjhavJo4AbC,86,The Kid LAROI,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,SO DONE,5fyH2H1o23bLNIxGu9JcMq,0.719,0.598,9,-6.254,1,0.077,0.232,0,0.115,0.303,142.592,126521,popular,Male
Angels Like You,0QdePZJfBpRIBautuT4FSx,65,Miley Cyrus,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Plastic Hearts,0BCjAmbM8ryCM9gxy5yW7h,0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,196453,popular,Female
